state,user,2020,2021,2022,2023,2024
Arizona,"Mohave County Parks, Lake Mohave diversion Diversion 12 9 9 11 11 8 15 15 15 8 4 3 120",,,,,6033
Arizona,Arizona State Land Deparment,,,4347,,
Arizona,"Farm Ditch Diversion 3 -4 1 344 670 1,033 603 477 291 384 141 -7 -8 3,925",,3871,,,
Arizona,Hopi Tribe,3419,3595,3053,,
Arizona,"Farm Ditch Diversion 1 -5 15 100 577 692 459 225 263 199 117 8 -10 2,640",3209,,,,
Arizona,"Farm Ditch Diversion 2 5 6 737 1,015 1,188 518 325 58 112 21 0 0 3,985",,,2949,,
Arizona,GM Gabrych Family,2824,2899,2912,,
Arizona,"Farm Ditch Diversion 2 0 0 19 338 443 328 107 1 0 25 0 0 1,261",,,,,2490
Arizona,"GSC Farm, LLC",2080,2083,2079,,
Arizona,"value will be recorded; when this occurs, this is considered a diversion.",2020,,,,
Arizona,"Surface delivery to Ranch 5 Diversion 22 64 131 217 182 86 117 94 86 79 83 53 1,214",,1653,,,
Arizona,"Surface delivery to Ranch 5 Diversion 38 54 110 150 145 82 87 73 112 76 62 48 1,037",,,1535,,
Arizona,"Surface delivery to Ranch 5 Diversion 30 5 10 93 207 133 126 93 80 141 58 42 1,018",1507,,,,
Arizona,Surface delivery to Ranch 5 Diversion 19 17 108 114 169 54 112 60 97 104 56 57 967,,,,,1465
Arizona,U.S. Marine Corps Air Station Yuma,1296,1239,1122,,
Arizona,"Perricone Arizona Properties, LLC and Meyer Farms, LLC (formerly Cha Cha, LLC)",,,,,1100
Arizona,Delivered via GGMC Diversion 7 32 47 65 74 95 119 128 94 44 29 30 33 790,,,,,860
Arizona,Cibola Island 4,,,753,,
Arizona,Cibola Island,684,749,,,
Arizona,Mohave County Water Authority,,675,,,
Arizona,Delivered via GGMC Diversion 27 66 14 109 215 133 107 117 36 34 35 24 917,596,,,,
Arizona,Delivered via GGMC Diversion 19 20 85 179 178 17 98 108 93 68 35 12 912,,593,,,
Arizona,Delivered via GGMC Diversion 9 15 20 28 212 52 19 77 61 81 62 50 686,,,,,562
Arizona,Delivered via GGMC Diversion 9 33 57 147 231 19 0 108 86 46 57 31 824,,,536,,
Arizona,"Brooke Water, LLC",343,,,,
Arizona,Delivered via GGMC Diversion 16 17 16 57 59 59 55 58 35 36 34 32 474,308,,,,
Arizona,North Baja Pipeline,229,197,200,,145
Arizona,Delivered via GGMC Diversion 0 34 33 36 68 53 0 32 33 0 38 21 348,,226,,,
Arizona,Delivered via GGMC Diversion 13 15 14 17 37 41 8 33 13 22 16 13 242,,,,,224
Arizona,"Red River Land Company, LLC",215,213,207,,214
Arizona,Delivered via GGMC Diversion 18 21 39 32 96 33 0 35 15 12 18 6 325,,,211,,
Arizona,Power,32,170,,,
Arizona,Power 4,,,104,,
Arizona,Milton Phillips (PPR No.7),77,45,44,,
Arizona,R. Griffin,53,31,,,
California,** California TOTAL **,4059911,4404727,4424247,3699155,3943741
California,Total IID,2493623,2557242,2577164,2417024,2311905
California,The Metropolitan Water District of Southern California,815618,1075563,1127137,661500,957797
California,Coachella Valley Water District,350618,351904,330387,286590,318380
California,Palo Verde Irrigation District,346085,368879,333157,282516,307564
California,Imperial Irrigation District,137933,133109,113330,111797,127245
California,Total Yuma Project Reservation Division,40586,37514,41254,36333,33213
California,Fort Mojave Indian Reservation,7055,7042,6694,6480,5899
California,Ranch 17,1978,2332,2318,2414,2197
California,"Arizona State Land Department Trust Lands Diversion 5 179 218 295 323 390 473 516 496 396 333 236 230 4,085",,,,2258,
California,"MWD (56,200 AF), and Coachella Canal Lining Project - SDCWA Exchange with MWD (21,500 AF).",10736,10376,17533,2023,
California,report.,,,2022,2023,2024
California,Colorado River Indian Reservation,787,709,1751,2013,1928
California,"28 Value shown includes 2,258 AF of consumptive use on the Yuma Island by users that may not presently hold an entitlement to Colorado River water. Pursuant to Section III.B of the Settlement Agreementdated",,,,1931,
California,City of Needles,942,1140,1122,1046,1146
California,Bureau of Land Management,137,143,117,349,118
California,Chemehuevi Indian Reservation,191,188,173,214,237
California,Non-Federal Subcontractors to the LCWSP,178,181,181,181,181
California,Pacific Gas and Electric Company,139,137,80,104,55
California,Southern California Gas Company,22,11,34,50,43
California,City of Winterhaven,59,49,44,25,25
California,"DCP Contribution (CAWCD) 7 (180,608)",2470776,,,,
California,"DCP Contribution (CAWCD) 10 (203,392)",,2425736,,,
California,"DCP Contribution (SNWA) 12 (8,000)",255568,,,,
California,"DCP Contribution (SNWA) 17 (8,000)",,242168,,,
California,"Arizona State Land Department Trust Lands Diversion 5 236 287 399 425 525 628 681 663 516 436 310 307 5,413",,,,,2993
California,"Arizona State Land Department Trust Lands Diversion 5 200 246 336 366 445 538 590 578 454 379 263 259 4,654",,,2574,,
California,Operations.,,2021,,,
California,Lower Basin Drought Contingency Operations.,2020,,,,
California,"23 Value shown includes 2,574 AF of consumptive use on the Yuma Island by users that may not presently hold an entitlement to Colorado River water. Pursuant to Section III.B of the Settlement Agreement",,,1931,,
California,"28 Value shown includes 2,993 AF of consumptive use on the Yuma Island by users that may not presently hold an entitlement to Colorado River water. Pursuant to Section III.B of the Settlement Agreement dated",,,,,1931
California,"Arizona State Land Department Trust Lands Diversion 6 135 174 238 262 321 381 412 393 314 259 187 185 3,261",1804,,,,
California,"Arizona State Land Department Trust Lands Diversion 5 126 154 213 228 278 340 373 356 281 236 169 166 2,920",,1615,,,
Nevada,** Nevada TOTAL **,255568,242168,223670,186844,212428
Nevada,Total Non-Federal Contractors',9863,9857,9880,9651,9882
Nevada,Fort Mojave Indian Reservation,2652,3039,2820,2898,2716
Nevada,Big Bend Water District,1782,1487,1471,1424,1547
Nevada,Total Federal Contractors',137,143,117,349,118
Nevada,Pacific Coast Building Products,925,927,916,90,899
Nevada,National Park Service,174,192,158,9,156
Nevada,City of Henderson,16125,13258,5675,,
Nevada,Basic Water Company,4317,4574,1966,,
